"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Pre-NOTCH Transcription And Translation R-HSA-1912408","1/62",0.0946475205245445,0.246083553363816,0,0,10.5272342675833,24.8189611675699,"ELF3"
"Pre-NOTCH Expression And Processing R-HSA-1912422","1/78",0.117627349119139,0.281995937515732,0,0,8.33305404273146,17.8346831696617,"ELF3"
"TP53 Regulates Metabolic Genes R-HSA-5628897","1/81",0.121872700542393,0.281995937515732,0,0,8.01935483870968,16.8789633804059,"LRPPRC"
"Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531","1/88",0.131701712785867,0.281995937515732,0,0,7.37152391546162,14.9436687571544,"ELAVL1"
"MAPK6/MAPK4 Signaling R-HSA-5687128","1/90",0.13449037019981,0.281995937515732,0,0,7.20514679231606,14.4554171099652,"IGF2BP1"
"Respiratory Electron Transport R-HSA-611105","1/90",0.13449037019981,0.281995937515732,0,0,7.20514679231606,14.4554171099652,"LRPPRC"
"Eukaryotic Translation Termination R-HSA-72764","1/90",0.13449037019981,0.281995937515732,0,0,7.20514679231606,14.4554171099652,"TRMT112"
"ABC-family Proteins Mediated Transport R-HSA-382556","1/102",0.151041007063003,0.293143025638004,0,0,6.3452571063558,11.993829786564,"ABCF1"
"tRNA Processing R-HSA-72306","1/105",0.15513051500505,0.293143025638004,0,0,6.16129032258065,11.4814935632183,"TRMT112"
"RHO GTPase Cycle R-HSA-9012999","2/441",0.156493928643078,0.293143025638004,0,0,2.96567957479119,5.50055879408209,"RBM15;RBMX"
"Phase II - Conjugation Of Compounds R-HSA-156580","1/107",0.15784624457431,0.293143025638004,0,0,6.04443091905052,11.1588285560721,"TRMT112"
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200","1/112",0.164598623007012,0.297191958207104,0,0,5.77070619006103,10.4117698469511,"LRPPRC"
"SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671","1/121",0.176620965903213,0.310280075235374,0,0,5.33548387096774,9.25039130979213,"G3BP1"
"Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517","1/163",0.230544360888493,0.394352196256633,0,0,3.94384707287933,5.7868540573823,"LRPPRC"
"Cellular Response To Chemical Stress R-HSA-9711123","1/182",0.253799100349247,0.411730129708737,0,0,3.5264658706113,4.83553326598665,"LRPPRC"
"rRNA Processing In Nucleus And Cytosol R-HSA-8868773","1/189",0.262193807902128,0.411730129708737,0,0,3.3939601921757,4.54339718360602,"TRMT112"
"SARS-CoV-2-host Interactions R-HSA-9705683","1/196",0.270496994606564,0.411730129708737,0,0,3.27096774193548,4.27677164950602,"G3BP1"
"rRNA Processing R-HSA-72312","1/199",0.274027726288503,0.411730129708737,0,0,3.22091886608016,4.16956317377141,"TRMT112"
"Signaling By Rho GTPases R-HSA-194315","2/644",0.275574259136664,0.411730129708737,0,0,2.00685358255452,2.58662985695849,"RBM15;RBMX"
"Signaling By NOTCH R-HSA-157118","1/203",0.278709626264376,0.411730129708737,0,0,3.15649952091983,4.03269582558415,"ELF3"
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542","2/660",0.285153406049966,0.411888253183285,0,0,1.9564336372847,2.45479201922897,"RBM15;RBMX"
"Biological Oxidations R-HSA-211859","1/218",0.296007625469934,0.418271644685777,0,0,2.9360784896685,3.57429405672507,"TRMT112"
"Translation R-HSA-72766","1/281",0.364371644417696,0.496211374497476,0,0,2.26820276497696,2.28993425930975,"TRMT112"
"SARS-CoV-2 Infection R-HSA-9694516","1/283",0.366433015013521,0.496211374497476,0,0,2.25188743994509,2.26075884906536,"G3BP1"
"MAPK Family Signaling Cascades R-HSA-5683057","1/318",0.401475894252832,0.532570063804777,0,0,1.99969471863234,1.82493697108394,"IGF2BP1"
"Transcriptional Regulation By TP53 R-HSA-3700989","1/354",0.435558665565334,0.566226265234934,0,0,1.79247007219227,1.48976809266851,"LRPPRC"
"SARS-CoV Infections R-HSA-9679506","1/369",0.449197996558705,0.572507250515997,0,0,1.71809256661992,1.3749749050237,"G3BP1"
"Infectious Disease R-HSA-5663205","2/961",0.459179869414956,0.573974836768695,0,0,1.32144595064303,1.02849892336014,"G3BP1;CBLL1"
"Signaling By Interleukins R-HSA-449147","1/453",0.519874783893492,0.637582282133528,0,0,1.39280616614331,0.911128244405632,"HNRNPA2B1"
"Signal Transduction R-HSA-162582","4/2465",0.568016289680529,0.683723311652489,0,0,1.01625355546526,0.574798276848708,"RBM15;ELF3;IGF2BP1;RBMX"
"Cytokine Signaling In Immune System R-HSA-1280215","1/702",0.681548869355898,0.783400869180772,0,0,0.886613593483963,0.339916411163461,"HNRNPA2B1"
"Transport Of Small Molecules R-HSA-382551","1/706",0.683656002434604,0.783400869180772,0,0,0.88140013726836,0.335196832064487,"ABCF1"
"Cellular Responses To Stress R-HSA-2262752","1/722",0.691950273607266,0.783400869180772,0,0,0.861124781888953,0.317101610025652,"LRPPRC"
"Cellular Responses To Stimuli R-HSA-8953897","1/736",0.699034621730535,0.783400869180772,0,0,0.844107965766952,0.302237084099754,"LRPPRC"
"Disease R-HSA-1643685","2/1736",0.779099522464575,0.858329982376227,0,0,0.701038062283737,0.174990656662391,"G3BP1;CBLL1"
"Metabolism R-HSA-1430728","2/2049",0.853803571009153,0.916161304558949,0,0,0.583650871193617,0.0922484261049139,"TRMT112;LRPPRC"
"Generic Transcription Pathway R-HSA-212436","1/1190",0.859782147355322,0.916161304558949,0,0,0.509482080360292,0.0769706364640679,"LRPPRC"
"RNA Polymerase II Transcription R-HSA-73857","1/1312",0.886159014007075,0.929037675975159,0,0,0.45906842843434,0.0554824917115581,"LRPPRC"
"Gene Expression (Transcription) R-HSA-74160","1/1449",0.910058683233696,0.938949435082385,0,0,0.412582427374799,0.0388843236895805,"LRPPRC"
"Metabolism Of Proteins R-HSA-392499","1/1890",0.958377975659639,0.962106989380481,0,0,0.308731364948172,0.0131251064612752,"TRMT112"
"Immune System R-HSA-168256","1/1943",0.962106989380481,0.962106989380481,0,0,0.299425268263513,0.0115666840104931,"HNRNPA2B1"
